request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_194,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 132800 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_195,618.34,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-12,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700 available."
request_196,491.35,affordable_later,wait,2024-06-13:762.3,2024-06-13,none,Pay EUR 762.3 in full on 2024-06-13. Paying earlier would take the balance below the EUR 500 minimum.
request_197,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 50939000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_198,152092.65,affordable_later,wait,2026-07-13:185800,2026-07-13,none,Pay INR 185800 in full on 2026-07-13. Paying earlier would take the balance below the INR 124300 minimum.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 25359500 available."
request_200,19377810.78,affordable_later,wait,2025-02-12:21717000,2025-02-12,none,Pay IDR 21717000 in full on 2025-02-12. Paying earlier would take the balance below the IDR 20114600 minimum.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This keeps the IDR 17304500 minimum available over the next 90 days.
request_202,55789.09,affordable_later,wait,2024-12-12:123900,2024-12-12,none,Pay INR 123900 in full on 2024-12-12. Paying earlier would take the balance below the INR 147800 minimum.
request_203,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1442.1 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_204,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 588.74 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_205,3990716.58,affordable_later,wait,2024-03-13:10621000,2024-03-13,none,Pay IDR 10621000 in full on 2024-03-13. Paying earlier would take the balance below the IDR 13994300 minimum.
request_206,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1404.7 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_207,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 11830 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_208,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 4413000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_209,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 56914 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_210,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 1360.02 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_211,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1788.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_212,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 71934000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_213,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 3362.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_214,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 69750 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_215,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 29986 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_216,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 3332.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_217,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 37180 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_218,9462441.42,not_affordable,not_recommended,none,2025-08-13,none,Do not make this payment. None of the available options keeps the IDR 34477200 minimum protected.
request_219,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1673.1 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_220,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 3118.5 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_221,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 109800 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_222,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 34078 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_223,681.64,affordable_later,wait,2024-09-12:898.7,2024-09-12,none,Pay EUR 898.7 in full on 2024-09-12. Paying earlier would take the balance below the EUR 800 minimum.
request_224,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 10327000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_225,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 22059000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_226,12565.84,affordable_later,wait,2024-12-12:157000,2024-12-12,none,Pay INR 157000 in full on 2024-12-12. Paying earlier would take the balance below the INR 209400 minimum.
request_227,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 259700 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_228,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 63327000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_229,150.14,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-03-14,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1000 available."
request_230,3295.9,affordable_later,wait,2025-08-12:3537.6,2025-08-12,none,Pay EUR 3537.6 in full on 2025-08-12. Paying earlier would take the balance below the EUR 2000 minimum.
request_231,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 35706 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_232,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1970.1 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_233,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 6241000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_234,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1213.3 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_235,801.44,affordable_later,wait,2024-09-12:967.2,2024-09-12,none,Pay USD 967.2 in full on 2024-09-12. Paying earlier would take the balance below the USD 700 minimum.
request_236,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 52383000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_237,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 23826000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700 available."
request_239,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 642 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_240,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 101200 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_241,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 21052000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_242,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1966.8 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_243,8281.32,affordable_later,wait,2026-07-13:17468,2026-07-13,none,Pay ZAR 17468 in full on 2026-07-13. Paying earlier would take the balance below the ZAR 19900 minimum.
request_244,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 49918 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_245,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 128500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 39300 available."
request_247,737.36,affordable_later,wait,2024-09-12:1059.3,2024-09-12,none,Pay EUR 1059.3 in full on 2024-09-12. Paying earlier would take the balance below the EUR 1300 minimum.
request_248,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 1965.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_249,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 643.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_250,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 124278 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_251,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1513.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_252,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 15152200 minimum protected.
request_253,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2840.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_254,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 3535.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This keeps the IDR 9813900 minimum available over the next 90 days.
request_256,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 218700 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_257,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 1352.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. This keeps the USD 500 minimum available over the next 90 days.
request_259,71.63,affordable_later,wait,2024-09-12:935,2024-09-12,none,Pay EUR 935 in full on 2024-09-12. Paying earlier would take the balance below the EUR 600 minimum.
request_260,3264943.11,affordable_with_plan,partial_payment,2025-02-06:3264943.11|2025-02-12:48814056.89,2025-02-12,none,"The full amount of IDR 52079000 is not safely payable today. However, IDR 3264943.11 can be paid today and the remaining amount can be paid on 2025-02-12 within the requested completion date."
request_261,324.49,affordable_later,wait,2026-07-13:1830.4,2026-07-13,none,Pay EUR 1830.4 in full on 2026-07-13. Paying earlier would take the balance below the EUR 1500 minimum.
request_262,6356706.21,affordable_with_plan,partial_payment,2024-12-05:6356706.21|2024-12-12:2879293.79,2024-12-12,none,"The full amount of IDR 9236000 is not safely payable today. However, IDR 6356706.21 can be paid today and the remaining amount can be paid on 2024-12-12 within the requested completion date."
request_263,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 51546 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_264,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 111300 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_265,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 45970 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_266,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 900 minimum protected.
request_267,557.54,not_affordable,not_recommended,none,2026-01-12,none,"The requested amount of EUR 1925 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_268,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2426.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_269,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 15490 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_270,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 3028.8 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_271,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 91300 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_272,1829849.92,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-12,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 7508600 available."
request_273,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 15861000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_274,1163.83,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-12,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1800 available."
request_275,3732966.4,affordable_later,wait,2025-05-14:15884000,2025-05-14,none,Pay IDR 15884000 in full on 2025-05-14. Paying earlier would take the balance below the IDR 12760100 minimum.
